ID,,Motivation,Confidence,Problem Interpretation,Preference,Issues,Q#,,
,,I,,,C,,5b,Balance the amount of waste produced and the health of the lake,
,,I,S,,C,,6a,Favor the amount of waste produced in the first 33 years than the  amount of waste produced during last 33 years. This way can maximize the economic benefit while keeping the lake healthy,
,,I,,,C,,6b,Balance between the amount of waste produced and the health of the lake,
,,I,S,,T,,7a,the reliability drop significantly from 0.02 to 0.03. I chose 0.02,
,,I,,,C,,7b,trying the find a balance,
,,I,,,,,8a,trying to find the amount of wastes produced that make the dot located at the center of the graph,
,,I,,,C,,8b,trying to balance all 3 conditions,
,,I,S,,C,,9a,I used the graph that maximize the water quality and the economic benefit. Then i just decrease the amount of waste to increase reliability,
,,I,,,C,,9b,Balance all three conditions,
151205,b,I,,O,C,,1a,I sas trying to maximize the amount of economic benefit while trying not to pollute too much.,
,,I,,,,,1b,I saw the differences in the benefits and tried to figure out one possible allocation to match best with the differences.,
,,I,,Sd,,,2a,Tried to maximize the amount of benefit by balancing between the 2 levers.,
,,I,S,,,,2b,"I found that when using a higher number for the first lever, there was more benefit later rather than doing it the opposite way.",
,,I,S,O,C,,3a,"I used 0.07,0.07, and 0.03 to minimize pollution and maximize economic benefit.",
,,I,,,,,3b,This strategy seemed to work because there will be more than 50% economic benefit for years to come.,
,,I,,,C,,4a,Trying to find a balance between both factors.,
,,I,,,C,,4b,I think using 0.05 was best because it balanced the priorities out of both factors.,
,,,S,,,,5a,I used 0.03 and 0.07 because I observed the results of 0.05 and 0.07 in the example.,
,,I,,,C,,5b,I think this strategy provides optimal economic benefit while still providing optimal quality of water.,
,,I,S,,,,6a,Choosing more waste earlier on in the 100 year span creates more economic benefit in the long run.,
,,I,S,,C,,6b,I used this strategy to help optimize both factors. I chose this by observing the examples.,
,,I,,,C,,7a,I was trying to optimize 3 factors. 0.02 provides a lot of reliability while 0.05 does not.,
,,I,,Sd,C,,7b,I used 0.035 since it was the average of both numbers hoping to create a balance.,
,,,S,,,,8a,I observed the example of choosing 0.02 and 0.05 and how it affected each variable.,
,,I,,,C,,8b,"Therefore, I chose 0.04 and 0.05 because all factors seemed to be close to their almost while also providing reliability.",
,,I,,,C,,9a,"0.03, 0.03, and 0.07 provided little variability. I was looking to optimize all 3 variables.",
,,I,,,C,,9b,I chose numbers that I thought would optimize all 3 variables by choosing the highest number for the middle sector of years based on my observations of the examples.,
151206,a,I,,O,C,,1a,I was trying to balance waste emission with economic benefit.,
,,I,,O,C,,1b,Keeping the lake clean is also important so I wanted to make sure not to pollute too much and too heavily favor the factory economics.,
,,I,,O,C,,2a,I was trying to limit waste produced while also allowing for economic benefits and providing steady jobs and pay by equalizing waste across the two time periods.,
,,I,,O,C,,2b,I wanted to maximize job and profit stability while still trying to minimize pollution.,
,,I,,,,,3a,I was trying to maximize economic benefit.,
,,I,S,,,,3b,There was a larger economic benefit to releasing more waste in the first time period that the later two. I then balanced the later two periods until I had maximized economic benefit.,
,,I,,,C,,4a,I tried to maximize both water quality and economic benefit.,
,,I,,,C,,4b,I wanted to make sure that I didn't harm the lake but also allowed for the largest profit while protecting the water quality.,
,,I,,,T,,5a,Again I tried to maximize water quality and economic benefit.  I could get more economic benefit but at a great decrease in water quality.,
,,I,,,C,,5b,I wanted to protect the lake while making a profit.,
,,I,,,C,,6a,I tried to maximize water quality and economic benefit.,
,,I,S,,T,,6b,"I did this to preserve the lake while also allowing for stable economic benefit.  If more waster were to be released during any of the time periods, a large decrease in water quality would follow.",
,,I,,,C,,7a,I tried to maximize reliability and economic benefit.,
,,I,,,,,7b,I wanted to make sure not to cause irreparable harm to the lake.,
,,I,,,C,,8a,"I tried to maximize water quality, economic benefit but most importantly reliability.",
,,I,,,,,8b,I wanted to be sure that algae did not take over the lake and damage it irreparably.,
,,I,,,C,,9a,I tried to maximize reliability at all costs while trying to also maximize economic benefit and water quality.,
,,I,,,,,9b,It was most important to make sure the lake doesn't get overrun with algae but I also tried to keep the other factors in mind.,
151207,c,,S,,,,1a,"Set the total amount of output as high as possible, which equals 10.",
,,P,S,,,,1b,Because the award is positively related to the amount of A.,
,,,S,,,,2a,"Set the total as high as possible, which is 10 in this case.",
,,P,S,,,,2b,"Because the higher the total output, the higher award I get.",
,,I,S,,,,3a,Make the total amount of A generated as many as possible.,
,,P,S,,,,3b,"Because the greater amount of A generated, the greater the award.",
,,I,S,,,,4a,Make as many A as possible while avoiding making too little B.,
,,I,S,,,,4b,"Because more A leads to less B, which is also part of the performance metrics.",
,,I,S,,,,5a,Make as many A as possible.,
,,I,,,S,,5b,"Because it is hard to keep B at a high level without sacrificing a lot of A. Since A and B are both performance metrics, I will make sure there is sufficient A because the output level of B doesn't really make much difference.",
,,I,S,,,,6a,Make as many A as possible while keeping B at an acceptable level.,
,,I,S,,,,6b,"The amount of B doesn't vary much in the high amounts of A, so I will just make decent amount of A and keep B at an acceptable level.",
,,I,S,,S,,7a,Make fewer A so there are as many B and C as possible.,
,,I,S,,S,,7b,"Because A decreases both B and C, I decide to make fewer A so that both B and C will be greater. 2 wins over 1.",
,,I,S,,S,,8a,Make fewer A to get more B and C.,
,,I,S,,S,,8b,There is a tradeoff between A and B/C. 2 beats 1 so I will make as many B and C as possible by decreasing the amount of A.,
,,I,S,,S,,9a,Make as many B and C as possible by controlling the amount of A.,
,,I,S,,S,,9b,"Because A leads to decreases in B and C, I decide to ensure the level of B and C by controlling the amount of A at an acceptable level.",
151208,d,I,,Sd,,,1a,I raised the sliders to a pretty high level at the beginning in case there's restrictions for raising at the rest steps.,
,,,C,,,,1b,"I don't know anything about the rest of the experiment, so I have to take an advance at the beginning.",
,,,C,,,,2a,"After I see the example, A is getting pretty big when both other the sliders reach to 10. However, there's still some examples shows that A might increase when the first slider is higher than the second slider.",
,,,C,Sd,,,2b,"I don't trust that put both of the sliders to 10 will raise A to the biggest, there has to has something that affects the result.",
,,I,,,,,3a,To make A bigger,
,,I,S,,,,3b,"From the example, it show that when the second slider remains the same, move the first slider bigger will raise A higher than more the third slider bigger. So I keep the first slider in 10. Also, I noticed that the second slider control the base of A, so I keep it in a relatively higher level. For the third slider, it can surely increase A, but in case there are other constrains, I make it relatively lower than other two sliders.",
,,I,,,C,,4a,I try to make A and B 50%:50%,
,,I,S,D,C,,4b,"As A raise, B goes down, without any other factors, both A and B are desirable, so I divide the slider to half and half",
,,I,,Sd,C,,5a,I tried to give all to A in the period 1 and give all to B in the period 2,
,,I,S,Sd,C,,5b,"From the example, we can see that even I provide 2 to A at the first period, if I give more at the second period to A, the result could possibly getting larger A. So I give all to A at the first round and then give all to B at the second period, both A and B would have opportunity to have higher level.",
,,I,,,C,,6a,To raise A and B together,
,,I,S,Sd,C,,6b,"From the example, it shows that the change in period 3 has no effect as period 1 and 2. So at the first period, I give A and B half and half. And then, make period 2 and period 3 relatively contrast in other to make the result balance",
,,I,S,,C,,7a,"To get higher A, B and C",
,,I,S,D,C,,7b,"from the example, it shows that as the slider getting smaller, we got higher C; the slider getting larger, we got higher B; as the slider getting close to 5, we have larger A. So in order to get more medium number for all three of them, I chose to the medium",
,,,,,,T,8a,".....I try to select 3 and 5, but I forget to click the slider",
,,,S,,,,8b,"I see a pretty nice graph from the example when the slider in first period is 2 and 5 in second period, so I just follow the example. ",
,,I,,,C,,9a,"raise to the medium of all A,B and C",
,,,S,,,,9b,"From the example, it shows that the amount of the dot change mostly based on the first and second period, and the relation between the first and second period is just like last question, so I follow my last decision and then put the third slider to the middle position in order to make just little change to the result from second period. ",
151209,d,I,,,,,1a,Trying to get the highest amount of A that is possible.,
,,I,S,,,,1b,Period of 10 would yield the best outcome.,
,,I,S,,,,2a,Getting the highest total amount of A over 2 periods.,
,,I,S,,,,2b,Putting the sliders at 10 for both period would yield the highest possible total amount of A.,
,,I,,,,,3a,Trying to find the best way to get the highest total amount of A that is possible to achieve.,
,,I,S,,,,3b,Putting the sliders at 10 for each period would yield the highest possible total amount of A over the three periods.,
,,I,,,C,,4a,Trying to maximize the amount of A and B.,
,,I,,,,,4b,"Due to different preferences, I use this strategy to be in the middle where people are indifferent.",
,,I,,,C,,5a,Trying to maximize both amount of A and B over two periods.,
,,I,S,,C,,5b,I use this strategy as I believe this way the outcome of A would not make the other outcome worse off.,
,,I,,,C,,6a,Trying to balance the outcome of A and B over the three periods.,
,,I,S,,C,,6b,"By using this strategy, the outcome of A will not make the outcome of B worse off as they are balanced.",
,,I,,,C,,7a,Trying to get the best outcome in which none of the possible outcomes get worse off.,
,,I,S,,C,,7b,"By setting the slider at 5, the outcomes are balanced off, and if we are to increase, say A, the other outcomes will get worse off.",
,,I,,,C,,8a,Trying to get the highest possible outcomes for each over two periods.,
,,I,S,,,,8b,"This strategy would yield the highest possible amount of B and C, with at least a little amount of A.",
,,I,,,C,,9a,Trying to maximize the possible outcome.,
,,I,S,,S,,9b,"It makes sense to put all 3 sliders at 0 to maximize the total possible amount of B and C, with the total amount of A is impossible to get worse off.",
151210,b,,,,,,1a,My strategy was just to estimate.,
,,I,C,O,,,1b,"Since the question asked for a 100 year plan and I at this time do not have any research on how much damage this will lake and the environment or how much it will impact the economy, I decided to go about 3/4 ways in the amount of waste per year.",
,,,,,,,2a,I decided to do more waste in the first half of the years and then less in the second half.,
,,I,,O,,,2b,"I used this because logically thinking the since the lake is assuming probably decent now, it will be able to handle more waste but that waste will build up in the next 50 years and the 2nd half could really be a environmental hazard and therefor it is important to lessen the amount of waste.",
,,,,,,,3a,"I decided to do the most waste in the first third, the least waste in the second third and somewhere in the middle in the last third.",
,,I,S,O,,,3b,I did this because the healthy lake can probably take a decent amount now but in the second third there will have to be a smaller amount of waste given due to some damage control. We have to allow the lake to get relatively good again before adding the in the middle amount in the last third.,
,,,,,,,4a,I picked a waste of about .08 per year.,
,,I,S,Am,,,4b,"It seemed reasonable with the new waste removing technology but since it can be harmful to the life in the lake, it cant be utilized at 100% and therefore we should not be dumping as much as we can.",
,,,S,,,,5a,I choose less waste in the first half and more in the second half.,
,,I,,Am,,,5b,I did this because the first half will allow the life of the lake to get used to the waste and the waste elimination thing as well and in the second half hopefully they would have evolved to tolerate more of the waste elimination process.,
,,,,,,,6a,"I picked the least in the first third, the most in the second third and in the middle in the last third.",
,,I,,Am,,,6b,"Assuming that in time (2nd third) the fish will get used to the harmful waste eliminating service, it has the most but in the middle in the last third just in case there isn't that impact, for damage control.",
,,,,,,,7a,I put the waste at .05/year.,
,,I,C,,,,7b,I did this bc that seems reasonable with no research with the understanding that the waste eliminator isn't reliable and that there is natural waste coming into the lake as well.,
,,,,,,,8a,I put in more for the first half and less for the next half.,
,,I,S,Am,,,8b,Having more in the first half will make the economy better and with a better economy a lot of good things could happen such as stability to get resources to eliminate waste more reliably.,
,,,,,,,9a,I did the most in the second third.,
,,I,S,Am,,,9b,I did this because it allows steady economy rise and waste to accustomed to in the life of the lake.,
151211,c,I,S,,,,1a,To determine what part of the scale produced the highest amount of A. I checked the scale in increments and found it was the high end that had the highest amount.,
,,,S,,,,1b,It was the most straight forward,
,,I,S,,,,2a,I determined that both scales were adding A in a positive manner. So then I put them at their maximum.,
,,,S,,,,2b,It was simple and there wasn't much option.,
,,I,S,,,,3a,I determined that all three scales were adding A in a positive manner. I then put them all at their maximum levels.,
,,,S,,,,3b,It seemed the most simple and thorough,
,,I,S,,T,,4a,"I kept picking values and analyzing the result. I noticed there was a drop off at 2.8, where there was a lot less B production. So I decided to stay at 2.7 before the dropoff where there was a high B production and some A production.",
,,,,,,,4b,It helped me understand what the relationship between the two was.,
,,I,S,,T,,5a,I moved the first scale until B started to drastically recline. Then I did the same with the second scale. Hoping to get more A but not lose a lot of B.,
,,I,C,,C,,5b,Its more complex now so just trying to maintain a high B and get as much A.,
,,I,S,,T,,6a,I moved the first scale until B dropped off. Then did the same for the second. The third was different and sometimes B would increase then decrease. So I picked a point where B was highest as well as A.,
,,,,,,,6b,It is helpful to play around until you see a trend. Then make decisions from there.,
,,I,S,,T,,7a,Again there was a dropoff. It started with high C and B. I went as far as I could go to get more A until there the amount of C drastically decreased.,
,,I,C,,,,7b,Trying to manage three things is hard. So I'm focusing on getting high of two and the best possible for the third.,
,,I,,,T,,8a,"I focus on keeping B and C high. I moved the first scale until they started to decrease. Then moved the second scale the same, trying to get more A but not losing much of the others.",
,,I,,,,,8b,I tried to keep 2 high and get as much as possible of the third.,
,,I,,,T,,9a,I tried to maintain a high C and B. I moved each scale until they dropped drastically.,
,,I,,,S,,9b,Its better to have more of 2 than only one.,
151212,a,I,,,,,1a,I was trying to achieve the highest economic benefits possible,
,,P,,,,,1b,I used this strategy because I was told that my success was reliant on producing the highest economic benefit,
,,I,,,,,2a,I was trying to achieve the highest economic benefit,
,,P,,,,,2b,I used this strategy because I was told it would lead to the highest reward,
,,I,,,,,3a,Achieve the highest economic benefit,
,,P,S,,,,3b,I was told that this would yield the highest reward,
,,I,,,T,,4a,I wanted to choose the max amount of waste that could be released before the water quality drastically dropped,
,,I,,,C,,4b,I wanted to release the most amount of waste possible without hindering water quality,
,,I,,,C,,5a,"I wanted to release the most waste I could for my economic benefit, but did not want the water quality to drop below 50%",
,,I,,,C,,5b,I wanted to achieve the most economic benefit without compromising drastically on water quality,
,,I,,,C,,6a,To get the most economic benefit without dropping water too much,
,,I,,,C,,6b,"I did not want to drop water quality too much, but I also wanted some economic benefit",
,,I,S,,,,7a,I aimed to keep the water quality and reliability high,
,,I,,,C,,7b,I wanted to keep the water quality and reliability high while also obtaining the most economic benefit,
,,I,,,,,8a,to keep water quality and reliability high,
,,I,,,C,,8b,"It is important to keep the lake enjoyable, but also economic benefits must be achieved",
,,I,,,C,,9a,Maximize water quality and reliability while still gaining economic benefit,
,,I,,,C,,9b,Keep the lake enjoyable and achieve economic benefits,
240104,a,I,S,,,,1a,The more waste that is created allows for more economic benefits towards the factory and helps the economy of the small town.,
,,I,S,,,,1b,I choose this strategy because it gave the most economic benefits to everyone.,
,,I,S,,,,2a,The more waste produced allows for more money the factor and the small town.,
,,I,S,,,,2b,This strategy is the best economic solution for all the people in the town.,
,,I,S,,,,3a,This will generate more money to the factory and the people of the town.,
,,I,S,,,,3b,This strategy allows for more economic benefits to the factory and the small town.,
,,I,S,,C,,4a,Having a balance over 100 years of lower water quality and average economic benefits will allow for a partnership that will benefit both parties without harming the lake or receiving low economic benefits.,
,,I,S,,C,,4b,The balance allows for a good amount of clean water and the factory still generates money.,
,,I,S,,C,,5a,I decided that the first 50 years would be designed to having better water quality and the last 50 years would have a more economic benefit while still preserving the quality of the water in the lake,
,,I,S,,C,,5b,I used this strategy because having better water quality gives the lake a better chance of disposing the waste and the factory can keep a steady income.,
,,I,S,,C,,6a,You pour more waste in the lake in order during the first period and receive more economic benefits. This also allows the later parts to pour less waste and allow the lake to remove the waste better and the factory can have a steady income.,
,,I,S,,C,,6b,It balances out the quality of water and economic benefits in installments.,
,,I,S,,C,,7a,The balance between the three aspects allows of the best result of all areas.,
,,I,S,,C,,7b,All three aspects are still in a good position.,
,,I,,,C,,8a,I was trying to balance all three aspects that allowed for the greatest result.,
,,I,S,,C,,8b,This strategy allows for all three aspects to be maintained and allow for a natural life style between the three aspects.,
,,I,,,C,,9a,I was trying to balance all three aspects that allowed for the best options for all three parts.,
,,I,S,,C,,9b,I used this strategy because it allows all three aspects to be maintained.,
240999,a,I,,O,C,,1a,"i tried to minimize the waste but also make a profit, so i split the waste with the profit",
,,I,,O,C,,1b,because my goal is to make a profit but also I am an environmental planner and I need to minimize the waste,
,,,,,,,,,
,,I,,,,,2a,i tried to go heavier on the waste the first 50 years and them stabilize it in the future,
,,I,,,,,3a,"again i decided to split the waste among the years, i started with heavier waste the fist period then it slightly decreased the next period and in the last period i decreased the waste by half from the initial period",
,,I,,,,,3b,"again it seemed like with the passing of the time the waster was less correlated with the profit, therefore i decided to have more waste the first period and way less the last period",
,,I,,,C,,4a,i decided to find a middle spot where the waste is low but the company is making some profit ,
,,I,,,C,,4b,it was impossible to have both no waste and high profits that is  why i decided to fin the middle ground  ,
,,,,,,,5a,this time i increased the waste in the first period and decreased it slightly in the second ,
,,I,,,,,5b,this time it seemed like there was better quality of water even tho i increased the waster from last time,
,,,,,,,6a,"it seemed that the last period did not have that much impact, so i decided not to have any waste. I increased the waste in the first period and slightly in the second ",
,,I,,,S,,6b,it seemed impossible finding the middle ground so i decided to go with cleaner water since there is a danger with the algae and people use the lake for recreational purposes ,
,,I,S,,,,7a,i decided to increase the economic benefits and the water quality,
,,I,C,,C,,7b,i was a little confused by the graph but it seemed like my choice offered the best possible benefits for both the water and the factory ,
,,,,,,,8a,i decided to gradually increase the waste in the passing of the time ,
,,I,S,,S,,8b,i did that in order to increase the economic benefits as much as possible and to decrease the reliability ,
,,I,,,,,9a,again i tried to gradually increase the waste with the years passing ,
,,I,,,C,,9b,it seemed like that gave the best economic benefits while keeping the water somewhat clean,
240106,a,I,,O,,,1a,I was trying to do a half and half thing where half waste is in the lake but also the other side is benefitting as well.,
,,I,,O,C,,1b,I used this strategy because it is like a real life compromise between the two variables given.,
,,I,,O,C,,2a,"I still tried to do the real life compromise between the two variables but I had more waste in the second one because since that determines the economy, if the first portion did not generate a good economy, having more factory production will increase the economy for the second half.",
,,I,,O,C,,2b,"I used this strategy because I was thinking that if the first way doesn't work, we can learn from mistakes and make it better. Also the first portion will have less waste in the lake and by then homes will be filled with people/family and they will be settled down and less likely to move for the second part.",
,,I,S,,,,3a,"Since the first period had a greater ratio of waste to economic benefit, I increased the first period more and had the last period less to recover from the first period.",
,,I,,Am,C,,3b,"I used this strategy because unlike the last one, I now thought maybe people would stay if there were jobs involved and we can help the lake as well in the later periods. I still tried to do the 50/50 compromise as in the other ones.",
,,I,S,,T,,4a,I picked the number .027 for waste because there was a drastic jump from .027 to .028 in water quality and not that big of a change in economic benefits. I was initially trying to have a little more economic benefit until I realized the drastic jump.,
,,I,S,,T,,4b,"I used this strategy because as important as economic benefits is, water quality is as well and the jump that water quality takes if you go to a higher waster number was not reasonable so I stuck with .027.",
,,I,,,T,,5a,"I did the same thing I did in the last one, I tried to pick the very last highest possible number before the water quality jumped drastically low for both. I realized the second period was much lower but I still did it this way so it would match up to the process of the first period.",
,,I,,,T,,5b,"I used this strategy because while both are important, I felt as if it wasn't worth to have the jump on lower water quality for the amount of economic benefit it was receiving. I picked these numbers so the town could benefit from both variables with little change in numbers.",
,,I,,,T,,6a,"I used the same strategy as previous, I tried to pick the numbers before a drastic change occurred in water quality. I realized for the third period it went up as the more waste was put in so I increased the amount of waste. ",
,,I,S,,T,,6b,I used this because both variables are important in this town and a little extra economic benefit would not make it enjoyable or worth it for the big jump in water quality.,
,,I,,,T,,7a,"I did the same thing where I tried to pick the numbers before the drastic change happened, but since we don't know how much natural waste there is, I tried to pick a smaller number for more room for natural waste.",
,,I,S,,T,,7b,"I used this strategy because if I picked the last number possible, then there would be no room for natural waste before the drastic change. ",
,,I,C,D,T,,8a,"This was more difficult because the jump occurred in more than one variable, both economic benefit and water quality. I tried to find the balance of the two as a compromise and still not have a big jump from water quality.",
,,I,,D,T,,8b,"I used this strategy because even though the water quality was lower than other times, the jump that that the economic benefit caused was too high to ignore. ",
,,I,S,,C,,9a,"I used the same thing as previous ones but since the last period had smaller decreases in water quality with more waste being put in, I had the last period more since it could generate more waste for more economic benefits than the second where the water would be greatly affected.",
,,I,,,C,,9b,I used this strategy to because I wanted to even out all three variables.,
240109,b,I,,O,C,,1a,"I was trying to create equal benefits on both sides of the situation.  While economic benefits are important, so are the environmental benefits, and I aimed to create a situation where each side saw an equal benefit.  ",
,,I,,O,C,,1b,"I used this strategy because I thought it was the most fair.  If each side sees the same amount of benefits, in my personal belief this would be the ideal situation.  ",
,,I,,O,C,,2a,"I tried to reach a mid point in the economic benefits graph. This seemed to be attainable when waste disposal totaled 0.1. I aimed to generate numbers in each period that would total 0.1.  I noticed in one of the examples, releasing a higher amount of waste into the lake now and a smaller amount later produced a larger economic benefit. I chose to release more waste in the first period. I was trying to create economic benefits while also protecting the lake.",
,,I,,O,C,,2b,"I used this strategy because I thought it was most fair.  There is a huge positive attached to creating economic benefits but at the same time the lake matters to the residents of the town, so I wanted to ensure both sides of the situation were appeased, and I thought my strategy was the best way to go about making that happen.  ",
